,fips,year,counts_x,race,counts_y,percentage,variable,value,representation
23178,42101016000,2017,916,Black - Non-Latino,433,47.27074235807861,Black - Non-Latino,2.61353899,18.08687092059744
29794,42101018300,2017,90,Black - Non-Latino,9,10.0,Black - Non-Latino,0.55645722,17.970833409260106
17818,42101013401,2022,36,Black - Non-Latino,22,61.111111111111114,Black - Non-Latino,3.40909091,17.92592592114568
23250,42101016000,2020,154,Black - Non-Latino,72,46.75324675324675,Black - Non-Latino,2.61353899,17.88886522532681
498,42101001201,2014,25,Black - Non-Latino,10,40.0,Black - Non-Latino,2.24986765,17.778823567688526
18326,42101013601,2018,27,Black - Non-Latino,15,55.55555555555556,Black - Non-Latino,3.13784087,17.705026436077862
23202,42101016000,2018,789,Black - Non-Latino,365,46.261089987325725,Black - Non-Latino,2.61353899,17.700554751366354
21765,42101015102,2016,1244,White - Non-Latino,98,7.877813504823152,White - Non-Latino,0.4450691,17.700203192769735
70259,42101038100,2022,167,Asian,7,4.191616766467066,Asian,0.24009604,17.458083717111975
29826,42101018300,2019,52,Black - Non-Latino,5,9.615384615384617,Black - Non-Latino,0.55645722,17.27964750890395
13683,42101010700,2023,42,Asian,2,4.761904761904762,Asian,0.28074116,16.96190455971886
36962,42101023100,2015,42,Black - Non-Latino,23,54.761904761904766,Black - Non-Latino,3.24881141,16.855981419341532
26219,42101017100,2014,962,Asian,8,0.8316008316008316,Asian,0.04941932,16.82744383372397
22962,42101015800,2016,190,Black - Non-Latino,64,33.68421052631579,Black - Non-Latino,2.02322308,16.64878720458042
24951,42101016701,2020,139,Asian,3,2.158273381294964,Asian,0.1309329,16.48381255814974
69622,42101037900,2014,400,Black - Non-Latino,54,13.5,Black - Non-Latino,0.82784572,16.30738635696516
63366,42101035200,2019,58,Black - Non-Latino,18,31.03448275862069,Black - Non-Latino,1.91878626,16.1740176097679
446,42101001002,2014,198,Black - Non-Latino,80,40.4040404040404,Black - Non-Latino,2.57475083,15.692407953914671
64110,42101035601,2016,177,Black - Non-Latino,24,13.559322033898304,Black - Non-Latino,0.86412944,15.691308970908691
18310,42101013601,2017,51,Black - Non-Latino,25,49.01960784313725,Black - Non-Latino,3.13784087,15.622082149480466
23302,42101016000,2022,143,Black - Non-Latino,58,40.55944055944056,Black - Non-Latino,2.61353899,15.51897282368095
64206,42101035601,2020,30,Black - Non-Latino,4,13.333333333333334,Black - Non-Latino,0.86412944,15.429787154726881
70283,42101038100,2023,27,Asian,1,3.7037037037037033,Asian,0.24009604,15.425925824114813
26327,42101017100,2018,1872,Asian,14,0.7478632478632479,Asian,0.04941932,15.133013725467041
36978,42101023100,2016,51,Black - Non-Latino,25,49.01960784313725,Black - Non-Latino,3.24881141,15.088474416290373
37018,42101023100,2019,62,Black - Non-Latino,30,48.38709677419355,Black - Non-Latino,3.24881141,14.893784423822112
63378,42101035200,2020,14,Black - Non-Latino,4,28.57142857142857,Black - Non-Latino,1.91878626,14.890365418516478
23322,42101016000,2023,26,Black - Non-Latino,10,38.46153846153847,Black - Non-Latino,2.61353899,14.716267332800903
34802,42101020900,2021,15,Black - Non-Latino,9,60.0,Black - Non-Latino,4.08934708,14.672268904110728
4123,42101006900,2018,174,Asian,2,1.1494252873563218,Asian,0.07877117,14.591953977023849
27793,42101017601,2015,8195,White - Non-Latino,2485,30.323367907260522,White - Non-Latino,2.08558073,14.539532069449319
18370,42101013601,2022,31,Black - Non-Latino,14,45.16129032258064,Black - Non-Latino,3.13784087,14.392473102876197
66950,42101036303,2021,46,Black - Non-Latino,11,23.91304347826087,Black - Non-Latino,1.69491525,14.108695687445653
21817,42101015102,2018,1728,White - Non-Latino,108,6.25,White - Non-Latino,0.4450691,14.042763247324967
27821,42101017601,2016,9719,White - Non-Latino,2835,29.169667661282023,White - Non-Latino,2.08558073,13.986352693852336
27765,42101017601,2014,6501,White - Non-Latino,1879,28.90324565451469,White - Non-Latino,2.08558073,13.858607935313389
1174,42101004001,2014,187,Black - Non-Latino,54,28.87700534759358,Black - Non-Latino,2.08969242,13.818782645339539
14363,42101011000,2022,323,Asian,9,2.786377708978328,Asian,0.20172911,13.812472126498392
36942,42101023100,2014,29,Black - Non-Latino,13,44.827586206896555,Black - Non-Latino,3.24881141,13.798149707586921
17686,42101013401,2016,251,Black - Non-Latino,118,47.01195219123506,Black - Non-Latino,3.40909091,13.790172639084904
25863,42101016902,2018,1806,Asian,9,0.4983388704318937,Asian,0.03620565,13.764118871830604
18258,42101013601,2014,72,Black - Non-Latino,31,43.05555555555556,Black - Non-Latino,3.13784087,13.721395487960343
54854,42101031501,2021,60,Black - Non-Latino,29,48.333333333333336,Black - Non-Latino,3.52259932,13.720928479976354
34998,42101021000,2020,61,Black - Non-Latino,25,40.98360655737705,Black - Non-Latino,2.98962782,13.708598201824685
17802,42101013401,2021,28,Black - Non-Latino,13,46.42857142857143,Black - Non-Latino,3.40909091,13.619047615415873
25835,42101016902,2017,2236,Asian,11,0.4919499105545617,Asian,0.03620565,13.587655809371237
72382,42101980100,2020,15,Black - Non-Latino,11,73.33333333333333,Black - Non-Latino,5.40540541,13.566666655134998
17738,42101013401,2018,65,Black - Non-Latino,30,46.15384615384615,Black - Non-Latino,3.40909091,13.538461534851281
17782,42101013401,2020,24,Black - Non-Latino,11,45.83333333333333,Black - Non-Latino,3.40909091,13.444444440859257
27849,42101017601,2017,8266,White - Non-Latino,2305,27.8853133317203,White - Non-Latino,2.08558073,13.370526937943225
37002,42101023100,2018,166,Black - Non-Latino,72,43.373493975903614,Black - Non-Latino,3.24881141,13.350573025691144
338,42101000801,2014,23,Black - Non-Latino,9,39.130434782608695,Black - Non-Latino,2.94494238,13.287334600620843
17714,42101013401,2017,159,Black - Non-Latino,72,45.28301886792453,Black - Non-Latino,3.40909091,13.28301886438239
24097,42101016400,2014,1695,White - Non-Latino,275,16.224188790560472,White - Non-Latino,1.22699387,13.222713810754794
22914,42101015800,2014,242,Black - Non-Latino,64,26.446280991735538,Black - Non-Latino,2.02322308,13.071361854835867
36986,42101023100,2017,73,Black - Non-Latino,31,42.465753424657535,Black - Non-Latino,3.24881141,13.071166055975386
17638,42101013401,2014,330,Black - Non-Latino,147,44.54545454545455,Black - Non-Latino,3.40909091,13.066666663182222
23150,42101016000,2016,1020,Black - Non-Latino,346,33.92156862745098,Black - Non-Latino,2.61353899,12.97917067900754
66298,42101036203,2020,36,Black - Non-Latino,12,33.33333333333333,Black - Non-Latino,2.57360109,12.952020211233796
422,42101001001,2014,21,Black - Non-Latino,7,33.33333333333333,Black - Non-Latino,2.57395313,12.950248761263701
42563,42101026500,2018,1572,Asian,14,0.8905852417302799,Asian,0.06912442,12.883800569035946
17762,42101013401,2019,133,Black - Non-Latino,58,43.609022556390975,Black - Non-Latino,3.40909091,12.79197994646349
21897,42101015102,2021,616,White - Non-Latino,35,5.681818181818182,White - Non-Latino,0.4450691,12.76614840665906
32343,42101019900,2023,77,Asian,2,2.5974025974025974,Asian,0.20366599,12.753246614236366
35038,42101021000,2022,106,Black - Non-Latino,40,37.735849056603776,Black - Non-Latino,2.98962782,12.622256457529144
41579,42101026100,2018,178,Asian,3,1.6853932584269662,Asian,0.13355593,12.619381695945409
25755,42101016902,2014,1320,Asian,6,0.45454545454545453,Asian,0.03620565,12.55454478915458
17662,42101013401,2015,306,Black - Non-Latino,130,42.48366013071895,Black - Non-Latino,3.40909091,12.461873635021059
70067,42101038100,2014,168,Asian,5,2.976190476190476,Asian,0.24009604,12.395833251520832
72606,42101980200,2021,114,Black - Non-Latino,28,24.561403508771928,Black - Non-Latino,1.98412698,12.378947394169261
69510,42101037800,2019,450,Black - Non-Latino,209,46.44444444444444,Black - Non-Latino,3.75399361,12.37200945700183
20082,42101014300,2020,79,Black - Non-Latino,42,53.16455696202531,Black - Non-Latino,4.3085476,12.339322179479996
24153,42101016400,2016,1480,White - Non-Latino,223,15.067567567567567,White - Non-Latino,1.22699387,12.280067517833293
27525,42101017500,2015,2075,White - Non-Latino,359,17.301204819277107,White - Non-Latino,1.41106043,12.261136696517744
378,42101000804,2014,127,Black - Non-Latino,42,33.07086614173229,Black - Non-Latino,2.71543364,12.178852635018652
41527,42101026100,2015,126,Asian,2,1.5873015873015872,Asian,0.13355593,11.884920327398321
21789,42101015102,2017,1874,White - Non-Latino,99,5.28281750266809,White - Non-Latino,0.4450691,11.869656875006802
72486,42101980200,2016,184,Black - Non-Latino,43,23.369565217391305,Black - Non-Latino,1.98412698,11.778260894064
67430,42101036502,2017,49,Black - Non-Latino,11,22.448979591836736,Black - Non-Latino,1.91317145,11.73390894571249
27553,42101017500,2016,2526,White - Non-Latino,415,16.429136975455265,White - Non-Latino,1.41106043,11.64311366555383
69538,42101037800,2020,87,Black - Non-Latino,38,43.67816091954023,Black - Non-Latino,3.75399361,11.635118611600468
45843,42101027901,2023,33,Asian,1,3.0303030303030303,Asian,0.26130128,11.596969713669333
24237,42101016400,2019,1634,White - Non-Latino,232,14.198286413708692,White - Non-Latino,1.22699387,11.57160338030759
58010,42101033101,2022,155,Black - Non-Latino,57,36.774193548387096,Black - Non-Latino,3.21595766,11.434912220948549
57962,42101033101,2020,49,Black - Non-Latino,18,36.734693877551024,Black - Non-Latino,3.21595766,11.4226298232891
72619,42101980200,2022,61,Asian,11,18.0327868852459,Asian,1.58730159,11.360655718391802
66938,42101036303,2020,26,Black - Non-Latino,5,19.230769230769234,Black - Non-Latino,1.69491525,11.346153874519233
21741,42101015102,2015,1310,White - Non-Latino,66,5.038167938931298,White - Non-Latino,0.4450691,11.319967930668064
41987,42101026301,2022,97,Asian,2,2.0618556701030926,Asian,0.18229167,11.310750897740379
12733,42101010300,2023,65,White - Non-Latino,3,4.615384615384616,White - Non-Latino,0.40832993,11.303076939240324
54810,42101031501,2019,553,Black - Non-Latino,220,39.78300180831826,Black - Non-Latino,3.52259932,11.293649431669754
54834,42101031501,2020,86,Black - Non-Latino,34,39.53488372093023,Black - Non-Latino,3.52259932,11.223213351704796
854,42101002802,2014,48,Black - Non-Latino,7,14.583333333333334,Black - Non-Latino,1.29987362,11.219039381177174
72514,42101980200,2017,217,Black - Non-Latino,48,22.119815668202765,Black - Non-Latino,1.98412698,11.148387119962837
72538,42101980200,2018,186,Black - Non-Latino,41,22.043010752688172,Black - Non-Latino,1.98412698,11.109677442462967
12483,42101010200,2023,41,Asian,1,2.4390243902439024,Asian,0.2196423,11.104529456502242
42813,42101026600,2019,1803,White - Non-Latino,99,5.490848585690515,White - Non-Latino,0.49497525,11.093178064338602
41211,42101025900,2015,161,Asian,3,1.8633540372670807,Asian,0.16824395,11.075310804739669
69566,42101037800,2021,178,Black - Non-Latino,74,41.57303370786517,Black - Non-Latino,3.75399361,11.074348554329363
24125,42101016400,2015,2445,White - Non-Latino,332,13.57873210633947,White - Non-Latino,1.22699387,11.066666621846668
66966,42101036303,2022,16,Black - Non-Latino,3,18.75,Black - Non-Latino,1.69491525,11.06250002765625
23122,42101016000,2015,1161,Black - Non-Latino,335,28.85443583118002,Black - Non-Latino,2.61353899,11.040369377148654
490,42101001102,2014,26,Black - Non-Latino,14,53.84615384615385,Black - Non-Latino,4.88905604,11.013609458678623
66874,42101036303,2017,225,Black - Non-Latino,42,18.666666666666668,Black - Non-Latino,1.69491525,11.013333360866667
34794,42101020900,2020,20,Black - Non-Latino,9,45.0,Black - Non-Latino,4.08934708,11.004201678083046
69486,42101037800,2018,379,Black - Non-Latino,156,41.16094986807388,Black - Non-Latino,3.75399361,10.964576433595441
72586,42101980200,2020,46,Black - Non-Latino,10,21.73913043478261,Black - Non-Latino,1.98412698,10.95652176192
57942,42101033101,2019,305,Black - Non-Latino,107,35.08196721311476,Black - Non-Latino,3.21595766,10.908715512478096
72414,42101980100,2022,12,Black - Non-Latino,7,58.333333333333336,Black - Non-Latino,5.40540541,10.79166665749375
27497,42101017500,2014,1645,White - Non-Latino,248,15.075987841945288,White - Non-Latino,1.41106043,10.684154641020788
71018,42101038500,2015,35,Black - Non-Latino,18,51.42857142857142,Black - Non-Latino,4.81991525,10.670015707967359
26379,42101017100,2020,569,Asian,3,0.5272407732864675,Asian,0.04941932,10.668717685440987
69606,42101037800,2023,15,Black - Non-Latino,6,40.0,Black - Non-Latino,3.75399361,10.655319149570955
24181,42101016400,2017,1475,White - Non-Latino,192,13.016949152542374,White - Non-Latino,1.22699387,10.608813516356339
66326,42101036203,2021,154,Black - Non-Latino,42,27.27272727272727,Black - Non-Latino,2.57360109,10.597107445554926
26275,42101017100,2016,1918,Asian,10,0.5213764337851928,Asian,0.04941932,10.550052768536531
58322,42101033200,2015,182,Black - Non-Latino,77,42.30769230769231,Black - Non-Latino,4.01313389,10.542307699505214
58390,42101033200,2018,71,Black - Non-Latino,30,42.25352112676056,Black - Non-Latino,4.01313389,10.52880922613837
21845,42101015102,2019,2229,White - Non-Latino,104,4.665769403319874,White - Non-Latino,0.4450691,10.483247215589387
41595,42101026100,2019,288,Asian,4,1.3888888888888888,Asian,0.13355593,10.399305286473531
57886,42101033101,2017,335,Black - Non-Latino,112,33.43283582089553,Black - Non-Latino,3.21595766,10.395919149288654
71086,42101038500,2019,48,Black - Non-Latino,24,50.0,Black - Non-Latino,4.81991525,10.373626382746044
57986,42101033101,2021,36,Black - Non-Latino,12,33.33333333333333,Black - Non-Latino,3.21595766,10.364978913725292
70115,42101038100,2016,162,Asian,4,2.4691358024691357,Asian,0.24009604,10.283950549409877
72438,42101980200,2014,227,Black - Non-Latino,46,20.26431718061674,Black - Non-Latino,1.98412698,10.213215880274324
71046,42101038500,2017,59,Black - Non-Latino,29,49.152542372881356,Black - Non-Latino,4.81991525,10.197802206767298
66366,42101036203,2023,65,Black - Non-Latino,17,26.153846153846157,Black - Non-Latino,2.57360109,10.162354319583443
63306,42101035200,2015,72,Black - Non-Latino,14,19.444444444444446,Black - Non-Latino,1.91878626,10.133720909823715
27581,42101017500,2017,2770,White - Non-Latino,396,14.296028880866427,White - Non-Latino,1.41106043,10.131407965898687
58370,42101033200,2017,148,Black - Non-Latino,60,40.54054054054054,Black - Non-Latino,4.01313389,10.10196560886249
54782,42101031501,2018,167,Black - Non-Latino,59,35.32934131736527,Black - Non-Latino,3.52259932,10.029338595729154
58034,42101033101,2023,56,Black - Non-Latino,18,32.142857142857146,Black - Non-Latino,3.21595766,9.994801095377962
18454,42101013602,2017,82,Black - Non-Latino,61,74.39024390243902,Black - Non-Latino,7.45075649,9.984253813996144
69462,42101037800,2017,575,Black - Non-Latino,215,37.391304347826086,Black - Non-Latino,3.75399361,9.960407031120674
67458,42101036502,2019,42,Black - Non-Latino,8,19.047619047619047,Black - Non-Latino,1.91317145,9.956043953937868
72626,42101980200,2022,61,Black - Non-Latino,12,19.672131147540984,Black - Non-Latino,1.98412698,9.914754118983344
72458,42101980200,2015,153,Black - Non-Latino,30,19.607843137254903,Black - Non-Latino,1.98412698,9.882352961731765
10018,42101009000,2021,39,Black - Non-Latino,30,76.92307692307693,Black - Non-Latino,7.80129125,9.860300616654573
10002,42101009000,2020,26,Black - Non-Latino,20,76.92307692307693,Black - Non-Latino,7.80129125,9.860300616654573
20138,42101014300,2023,26,Black - Non-Latino,11,42.30769230769231,Black - Non-Latino,4.3085476,9.819478913890219
27609,42101017500,2018,3176,White - Non-Latino,439,13.82241813602015,White - Non-Latino,1.41106043,9.795766249373282
36062,42101021500,2021,50,Black - Non-Latino,20,40.0,Black - Non-Latino,4.1223749,9.70314466061784
24277,42101016400,2021,168,White - Non-Latino,20,11.904761904761903,White - Non-Latino,1.22699387,9.702380913086309
71006,42101038500,2014,15,Black - Non-Latino,7,46.666666666666664,Black - Non-Latino,4.81991525,9.682051290562974
41779,42101026200,2020,105,Asian,2,1.9047619047619049,Asian,0.19680197,9.678571331180805
54882,42101031501,2022,226,Black - Non-Latino,77,34.070796460176986,Black - Non-Latino,3.52259932,9.67206127212248
34754,42101020900,2018,152,Black - Non-Latino,60,39.473684210526315,Black - Non-Latino,4.08934708,9.652808489546532
66350,42101036203,2022,129,Black - Non-Latino,32,24.8062015503876,Black - Non-Latino,2.57360109,9.638712715336782
57914,42101033101,2018,133,Black - Non-Latino,41,30.82706766917293,Black - Non-Latino,3.21595766,9.585657190888803
26403,42101017100,2021,852,Asian,4,0.4694835680751174,Asian,0.04941932,9.500000568100033
874,42101002900,2014,107,Black - Non-Latino,25,23.364485981308412,Black - Non-Latino,2.46317315,9.485523168076273
64838,42101035702,2020,18,Black - Non-Latino,5,27.77777777777778,Black - Non-Latino,2.92849035,9.485357456539946
34778,42101020900,2019,98,Black - Non-Latino,38,38.775510204081634,Black - Non-Latino,4.08934708,9.48207854347292
34974,42101021000,2019,367,Black - Non-Latino,104,28.337874659400548,Black - Non-Latino,2.98962782,9.478729917425156
9918,42101009000,2016,92,Black - Non-Latino,68,73.91304347826086,Black - Non-Latino,7.80129125,9.474462766437654
63350,42101035200,2018,50,Black - Non-Latino,9,18.0,Black - Non-Latino,1.91878626,9.380930213665382
36086,42101021500,2022,101,Black - Non-Latino,39,38.613861386138616,Black - Non-Latino,4.1223749,9.366897073368708
27637,42101017500,2019,2990,White - Non-Latino,394,13.177257525083613,White - Non-Latino,1.41106043,9.338549395140797
24257,42101016400,2020,236,White - Non-Latino,27,11.440677966101696,White - Non-Latino,1.22699387,9.324152504610064
24209,42101016400,2018,1201,White - Non-Latino,137,11.407160699417153,White - Non-Latino,1.22699387,9.296835932372794
26355,42101017100,2019,2830,Asian,13,0.45936395759717313,Asian,0.04941932,9.295230237833566
35014,42101021000,2021,65,Black - Non-Latino,18,27.692307692307693,Black - Non-Latino,2.98962782,9.26279435421754
27877,42101017601,2018,5097,White - Non-Latino,984,19.305473808122425,White - Non-Latino,2.08558073,9.256641821830806
60934,42101034400,2020,55,Black - Non-Latino,14,25.454545454545453,Black - Non-Latino,2.75385017,9.243257215604237
18438,42101013602,2016,77,Black - Non-Latino,53,68.83116883116884,Black - Non-Latino,7.45075649,9.238145002262561
66246,42101036203,2018,80,Black - Non-Latino,19,23.75,Black - Non-Latino,2.57360109,9.22831440050408
26401,42101017100,2020,569,White - Non-Latino,44,7.732864674868189,White - Non-Latino,0.84012849,9.204383337682298
54754,42101031501,2017,344,Black - Non-Latino,111,32.26744186046512,Black - Non-Latino,3.52259932,9.16012266205318
42785,42101026600,2018,1103,White - Non-Latino,50,4.533091568449683,White - Non-Latino,0.49497525,9.158218655275558
69438,42101037800,2016,562,Black - Non-Latino,193,34.34163701067616,Black - Non-Latino,3.75399361,9.148027561686808
34946,42101021000,2018,696,Black - Non-Latino,190,27.298850574712645,Black - Non-Latino,2.98962782,9.13118696316943
34714,42101020900,2016,196,Black - Non-Latino,73,37.244897959183675,Black - Non-Latino,4.08934708,9.107785969388463
18482,42101013602,2019,43,Black - Non-Latino,29,67.44186046511628,Black - Non-Latino,7.45075649,9.051679591949231
9938,42101009000,2017,129,Black - Non-Latino,91,70.54263565891473,Black - Non-Latino,7.80129125,9.042430720544465
26977,42101017202,2023,75,White - Non-Latino,3,4.0,White - Non-Latino,0.44378698,9.013333379000889
26377,42101017100,2019,2830,White - Non-Latino,214,7.561837455830389,White - Non-Latino,0.84012849,9.000810644845991
